actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:20.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:20.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:23.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking""}]","[{""duration"":4}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished"",""display"":""finished""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:23.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/20""}]","[{""completion"":false,""duration"":4}]","[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished"",""display"":""finished""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:24.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:25.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/pronunciation""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:27.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/listening""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:36.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:36.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/19""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started"",""display"":""started""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
"[{""objectType"":""agent"",""openId"":43}]",2019-01-20T10:30:36.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/MainUnit/10/speaking/19""}]",[{}],"[{""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved"",""display"":""moved""}]","[{""osVersion"":""12.1.2"",""os"":""iOS"",""deviceId"":""0AE25AD1-5CB0-4AD0-B611-67EB2443FE0B"",""classId"":2,""appVersion"":""2.2.1""}]",,
