actor,timeStamp,object,result,verb,extension,,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:33.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:36.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:38.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2""}]","[{""continue"":true}]","[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:39.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:39.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:21:44.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2/movie""}]","[{""position"":0}]","[{""display"":""played"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/played""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:18.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2/movie""}]","[{""duration"":34}]","[{""display"":""completed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:19.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2""}]","[{""success"":true,""duration"":41}]","[{""display"":""submitted"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/submitted""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:19.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation""}]",[{}],"[{""display"":""completed"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/completed""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:22.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation""}]","[{""duration"":43}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:22.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/basic_pronunciation/2""}]","[{""completion"":true,""duration"":43}]","[{""display"":""finished"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/finished""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:22.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:27.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_listening""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:29.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]",[{}],"[{""display"":""moved"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/moved""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:30.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:30.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:33.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]",[{}],"[{""display"":""started"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/started""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
"[{""objectType"":""agent"",""openId"":29}]",2018-04-16T15:22:33.000Z,"[{""objectType"":""activity"",""objectId"":""kototomo/BasicUnit/2/distinguish_pronunciation/4""}]","[{""questionId"":4}]","[{""display"":""selected"",""verbId"":""https://dragon.ei.tohoku.ac.jp/verb/selected""}]","[{""classId"":1,""deviceId"":""5D1BC5B6-EE65-40CB-8B81-AB7A35004931""}]",,
