total_time_screentime,total_time_answer,day_average_time_screentime,day_average_time_answer,week_average_time_screentime,week_average_time_answer,Monday_average_time_screentime,Tuesday_average_time_screentime,Wesdnesday_average_time_screentime,Thursday_average_time_screentime,Friday_average_time_screentime,Saturday_average_time_screentime,Sunday_average_time_screentime,Monday_average_time_answer,Tuesday_average_time_answer,Wesdnesday_average_time_answer,Thursday_average_time_answer,Friday_average_time_answer,Saturday_average_time_answer,Sunday_average_time_answer,Monday_total_time_screentime,Tuesday_total_time_screentime,Wesdnesday_total_time_screentime,Thursday_total_time_screentime,Friday_total_time_screentime,Saturday_total_time_screentime,Sunday_total_time_screentime,Monday_total_time_answer,Tuesday_total_time_answer,Wesdnesday_total_time_answer,Thursday_total_time_answer,Friday_total_time_answer,Saturday_total_time_answer,Sunday_total_time_answer,play_complete_percent,question_count,correct_answer_percent,question_complete_percent,rewinded_count,play_count,suspended_count,resumed_count,launched_count,terminated_count,test_result,openId,question_Id
20035,66923,625.8333333,2081.233333,853.4090909,2838.045455,0,0,131.2,480.3,4.633333333,3.933333333,5.766666667,0,0,467.7,1587.1,9.366666667,0.2333333333,16.83333333,0,0,3936,14409,139,118,173,0,0,14031,47613,281,7,505,35.37666174,558,84.05017921,85.81952118,14,875,64,25,11,0,85,221,14
14249,94878,487.84,1549.04,677.5555556,2151.444444,5.6,63.96,116.28,301.68,0.04,0,0.28,5.6,417.56,404,721.6,0.04,0,0.24,140,1599,2907,7542,1,0,7,140,10439,10100,18040,1,0,6,70.6870229,747,26.5060241,80.48780488,1,192,79,46,1,0,79,208,0
31797,65425,883.1944444,1817.305556,1232.875,2687.75,93.38888889,54.19444444,525.9722222,20.5,50.41666667,37.72222222,101,132.0555556,152.4722222,1218.75,25.66666667,110.0555556,120.4722222,57.83333333,3362,1951,18935,738,1815,1358,3636,4754,5489,43875,924,3962,4337,2082,50.57660626,545,83.30275229,79.37062937,5,600,166,104,17,0,86,194,6
10877,22282,428.7916667,865.2916667,541.6315789,1093,0,122.125,305.7916667,0,0.875,0,0,0,248.7916667,615.6666667,0,0.8333333333,0,0,0,2931,7339,0,21,0,0,0,5971,14776,0,20,0,0,71.98067633,347,57.06051873,47.61904762,1,116,41,23,13,0,85,161,98
9468,31644,285.6875,946.75,415.5454545,1377.090909,6,150.59375,127.875,0.09375,0.09375,0,1.03125,6.34375,459.84375,479.40625,0.0625,0.0625,0,1.03125,192,4819,4092,3,3,0,33,203,14715,15341,2,2,0,33,34.06193078,244,76.63934426,74.20634921,8,362,66,25,6,0,86,160,0
22262,172396,481.0652174,3737.782609,747.7083333,6794.708333,47.86956522,308.7173913,88.84782609,1.413043478,23.02173913,0,11.19565217,181.4782609,3267.978261,164.6086957,4.173913043,76.69565217,0,42.84782609,2202,14201,4087,65,1059,0,515,8348,150327,7572,192,3528,0,1971,47.86557675,549,78.68852459,81.78368121,2,574,95,29,18,1,75,159,11
31745,81556,492.8870968,1300.096774,1018.633333,2686.866667,252.9354839,130.6451613,0.04838709677,0.09677419355,0.03225806452,44.20967742,64.91935484,751.7903226,308.8709677,0.09677419355,0.1935483871,0.03225806452,90.62903226,148.483871,15682,8100,3,6,2,2741,4025,46611,19150,6,12,2,5619,9206,26.51515152,575,82.08695652,81.30360206,7,1067,216,113,44,21,83,375,16
18769,60864,246.9473684,800.8289474,586.5,1901.96875,100.75,58.76315789,6.644736842,16.85526316,15.64473684,17.27631579,31.01315789,315.9473684,157.1184211,19.25,62.30263158,57.15789474,82.81578947,106.2368421,7657,4466,505,1281,1189,1313,2357,24012,11941,1463,4735,4344,6294,8074,34.61928934,501,80.83832335,82.69617706,0,644,135,31,43,2,77,346,17
15339,33265,451.0882353,978.2941176,589.8846154,1279.307692,125.2647059,320.1470588,0,0,0,0.2647058824,5.411764706,323.0588235,628.5882353,0.02941176471,0,0,0.1176470588,26.5,4259,10885,0,0,0,9,184,10984,21372,1,0,0,4,901,45.70063694,581,62.82271945,81.31868132,3,341,116,54,18,21,85,367,11
40099,131347,801.94,2626.9,1349.275862,4420.586207,28.08,63.06,35.12,45.72,6.88,0.3,622.78,73.2,250.36,90.6,173.3,21.94,0.28,2017.22,1404,3153,1756,2286,344,15,31139,3660,12518,4530,8665,1097,14,100861,34.61344113,944,80.40254237,77.29124236,48,1294,183,100,5,0,73,316,4
